الاسم,خط العرض,خط الطول,التصنيف,الوصف,معرف المكان,سعر الدخول (جنيه)
Tihna El-Gebel,28.182739,30.7754992,تاريخي,"Tihna el-Gebel (ancient Akoris) in Minya is an important archaeological site spanning multiple periods from the Old Kingdom through the Roman era. The site includes rock-cut tombs, a Ptolemaic temple to Thoth, and evidence of ancient quarrying activities. Its cliff-face contains hieroglyphic inscriptions recording royal expeditions and administrative activities.",13,
Minya Beach Hotel,28.0994894,30.7583799,إقامة,"Minya Beach Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",14,
Bush camp White Desert,27.3698709,28.1655382,إقامة,"Bush camp White Desert is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",15,
Aqabat,27.4735558,28.259682,أخرى,"Aqabat is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",16,
Badra Valley,27.3343398,28.1877849,أخرى,"Badra Valley is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",17,
White Desert,27.3528126,28.1707532,أخرى,"The White Desert National Park in Egypt's Western Desert is one of the world's most otherworldly natural landscapes. Shaped by millennia of wind erosion, enormous chalk formations rise from the sandy floor in surreal shapes resembling mushrooms, icebergs, and animals. The park, located near Farafra Oasis, is most magical at sunrise and sunset when the white rocks glow gold and pink.",18,
White desert,27.3595158,28.1657813,خدمات,White desert is a service facility in Egypt that supports visitors and residents in the area.,19,
The Mushrooms (Aish el-Ghorab),27.3569797,28.1705013,أخرى,"The Mushrooms (Aish el-Ghorab) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",20,
White Rabbit,27.2647752,28.1995507,أخرى,"White Rabbit is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",21,
Rock Mushroom,27.2776046,28.2004509,أخرى,"Rock Mushroom is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",22,
Wonderfull area with white rocks,27.2810611,28.1918618,أخرى,"Wonderfull area with white rocks is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",23,
Agabat valley (limestone shrooms),27.4697656,28.4359003,أخرى,"Agabat valley (limestone shrooms) is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",24,
مغائر شعيب,28.48,35.011389,أخرى,"مغائر شعيب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",25,
مغائر الكفار,28.102222,35.177778,أخرى,"مغائر الكفار is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",26,
Visitor Center Mughair Shuayb,28.4875126,35.0038349,خدمات,Visitor Center Mughair Shuayb is a service facility in Egypt that supports visitors and residents in the area.,27,
Flower,28.4070315,35.0021796,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",28,
Flower,28.4064965,35.0024814,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",29,
Flower,28.4061874,35.0020489,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",30,
Flower,28.4066947,35.0018011,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",31,
Flower,28.4066565,35.0022047,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",32,
Flower,28.4066704,35.002038,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",33,
Flower,28.4065753,35.0020177,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",34,
Flower,28.4065337,35.0021867,ثقافي,"Flower is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",35,
امن مركزى,30.0403542,33.1918716,إقامة,"امن مركزى is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",36,
ك ٢سطع,30.0049131,32.9178758,إقامة,"ك ٢سطع is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",37,
مركز الظرافه ج٣,29.9544508,33.102137,إقامة,"مركز الظرافه ج٣ is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",38,
بنزينه. وطنيه,30.0177467,32.9514722,إقامة,"بنزينه. وطنيه is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",39,
ك ٥٢ مش,30.0278294,32.96749,إقامة,"ك ٥٢ مش is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",40,
كمين صدر حيطان,30.040121,33.1928033,إقامة,"كمين صدر حيطان is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",41,
A1 Sector Housing,22.74704,31.359001,إقامة,"A1 Sector Housing is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",42,
معسكر قطاع E,22.731183,31.3198974,إقامة,"معسكر قطاع E is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",43,
Neptuna,23.6186333,36.2037666,أخرى,"Neptuna is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",44,
Khanka,23.6166601,36.2047145,أخرى,"Khanka is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",45,
قلعة الجندي,29.8514696,33.1304623,أخرى,"قلعة الجندي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",46,
St. Antony's cave,28.9114738,32.3545669,أخرى,"St. Antony's cave is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",47,
برج الظفر,30.0421356,31.2640386,أخرى,"برج الظفر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",48,
باب المحروق,30.0400606,31.262293,أخرى,"باب المحروق is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",49,
برطس,30.1475585,31.134657,أخرى,"برطس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",50,
متحف جاير أندرسون,30.0283804,31.2507258,ثقافي,متحف جاير أندرسون في القاهرة الإسلامية يتكوّن من منزلين تاريخيين من القرن السابع عشر يصوّران الحياة المنزلية في مصر الإسلامية. جمعه المقدم البريطاني جاير أندرسون ويحتوي على أثاث وتحف إسلامية وأسلحة وعملات نفيسة. يُعدّ نموذجاً استثنائياً للعمارة المنزلية المملوكية المحفوظة.,51,80.0
سي أف سي سي,30.0839215,31.3330909,أخرى,"سي أف سي سي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",52,
جمهورية,30.0460126,31.2463568,أخرى,"جمهورية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",53,
فندق لونشان,30.0638579,31.2191142,إقامة,"فندق لونشان is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",54,
فندق أم كلثوم,30.0645602,31.2159286,إقامة,"فندق أم كلثوم is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",55,
مجمع الفنون أخناتون,30.0589863,31.2249789,أخرى,"مجمع الفنون أخناتون is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",56,
ساقية الصاوي,30.0624069,31.2163319,أخرى,"ساقية الصاوي is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",57,
مسلة المطرية,30.1294036,31.3074812,ثقافي,"مسلة المطرية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",58,
بنسيون روما,30.0515136,31.244547,إقامة,"بنسيون روما is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",59,
الزعيم,29.9948883,31.1616668,أخرى,"الزعيم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",60,
باب النصر,30.0542304,31.2648995,أخرى,"باب النصر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",61,
باب المزهرية,30.0565166,31.2613649,أخرى,"باب المزهرية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",62,
لو مريديان هليوبوليس,30.0913076,31.3363092,إقامة,"لو مريديان هليوبوليس is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",63,
بارون,30.08603,31.33152,إقامة,"بارون is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",64,
المتخف الجيولوجي المصري,29.9961855,31.2287249,ثقافي,"المتخف الجيولوجي المصري is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",65,
falluka rides,29.9569275,31.2505059,أخرى,"falluka rides is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",66,
مسرح الزمالك,30.0615684,31.2189826,أخرى,"مسرح الزمالك is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",67,
طلعت حرب,30.0476098,31.2384944,ثقافي,تمثال طلعت حرب يحتفي بمؤسس بنك مصر عام 1920 ورائد الاقتصاد الوطني المصري. ناضل من أجل إنشاء صناعة وطنية مستقلة في مواجهة الهيمنة الاقتصادية الأجنبية. يقف التمثال في الميدان المسمى باسمه في وسط القاهرة التجاري.,68,
جراند حيات,30.0348063,31.2276294,إقامة,"جراند حيات is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",69,
Imhotep Temple,29.8692525,31.2173005,تاريخي,"The Imhotep Museum at Saqqara celebrates the genius of Imhotep, the architect of the first pyramid and later deified as a god of medicine. Built near the Step Pyramid complex, it houses remarkable artifacts discovered at Saqqara including gilded mummy masks, canopic jars, and ancient papyri. The museum offers essential context for understanding this pivotal site of Egypt's funerary heritage.",70,180.0
Serapheum,29.8760471,31.2100388,أخرى,"Serapheum is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",71,
شهرزاد,30.056728,31.2154322,إقامة,"شهرزاد is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",72,
مسرح نجم,30.0385649,31.2108722,أخرى,"مسرح نجم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",73,
نيلوميتر,30.0069316,31.2250004,أخرى,"نيلوميتر is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",74,
Rokn Farouk,29.8470384,31.2948309,ثقافي,"Rokn Farouk is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",75,
Wax museum,29.8601958,31.3257085,ثقافي,"Cairo's Wax Museum features life-size wax figures of prominent Egyptian historical and cultural figures including pharaohs, political leaders, artists, and sports personalities. Located in the entertainment district, it offers an interactive way to engage with Egypt's diverse heritage from ancient to modern times.",76,80.0
متحف أم كلثوم,30.0076221,31.2248842,ثقافي,متحف أم كلثوم في جزيرة الروضة بالقاهرة يحتفي بحياة كوكب الشرق أعظم مطربة في تاريخ الموسيقى العربية. يعرض ملابسها الشخصية ونظاراتها الشهيرة وصور نادرة وتسجيلات موسيقية من مسيرتها الممتدة عبر أربعة عقود. يقدم المتحف صورة حية عن الثقافة المصرية الشعبية في القرن العشرين.,77,40.0
فندق بيروت,30.093251,31.3278928,إقامة,"فندق بيروت is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",78,
دلتا الأهرام,29.9913026,31.1370932,إقامة,"دلتا الأهرام is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",79,
أبو جراب,29.9030884,31.1981828,أخرى,"أبو جراب is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",80,
أهرام أبو صير,29.8960933,31.2055264,تاريخي,أهرام أبو صير is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,81,
معبد الشمس,29.8662695,31.2169648,أخرى,"معبد الشمس is an ancient Egyptian temple site representing the country's rich religious and architectural heritage. These sacred spaces served as centers of worship, ritual, and economic activity in the ancient world.",82,
مصطبة مروروكة,29.8833055,31.2166617,أخرى,"مصطبة مروروكة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",83,
فندق الأهرامات الثلاثة,29.999636,31.1763862,إقامة,"فندق الأهرامات الثلاثة is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",84,
موفنبيك القاهرة - مدينة الانتاج الاعلامي,29.9632295,31.0207595,إقامة,"موفنبيك القاهرة - مدينة الانتاج الاعلامي is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",85,
ماجيك لاند,29.9617982,31.0242842,أخرى,"ماجيك لاند is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",86,
Wissa Wassef Art Center,29.9692025,31.176465,ثقافي,"Wissa Wassef Art Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",87,
نوفوتيل,30.1213508,31.402144,إقامة,"نوفوتيل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",88,
Pharaohs,30.0422436,31.2185122,إقامة,"Pharaohs is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",89,
قاعة أوبرا المطار,30.1181195,31.3917617,أخرى,"قاعة أوبرا المطار is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",90,
إبراهيم باشا,30.0507423,31.2470366,أخرى,"إبراهيم باشا is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",91,
عبد المنعم رياض,30.048721,31.2341946,أخرى,"عبد المنعم رياض is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",92,
سعد زغلول,30.043433,31.2271103,ثقافي,تمثال سعد زغلول يخلّد ذكرى زعيم الثورة المصرية عام 1919 ورمز الكفاح الوطني ضد الاحتلال البريطاني. قاد سعد زغلول الوفد المصري في مفاوضات الاستقلال وأسّس حزب الوفد الوطني. يُعدّ من أبرز رموز الهوية الوطنية المصرية الحديثة.,93,
تمثال نجيب محفوظ,30.060569,31.2082276,ثقافي,تمثال نجيب محفوظ يُكرّم الروائي المصري الوحيد الحائز على جائزة نوبل للآداب عام 1988. ارتبطت أعماله بأحياء القاهرة التاريخية ولا سيما أرباض القاهرة الفاطمية التي صوّرها في ثلاثيته الشهيرة. يُعدّ نجيب محفوظ صوت الضمير الأدبي للمجتمع المصري في القرن العشرين.,94,
Tombs of 3rd Dynasty,29.8768204,31.2132845,أخرى,Tombs of 3rd Dynasty is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,95,
Philosopher's Circle,29.8748295,31.2125335,تاريخي,"The Philosopher's Circle in Alexandria is a unique cultural landmark featuring statues of ancient Greek philosophers and thinkers who studied at or were associated with ancient Alexandria. The circle commemorates the city's golden age as the intellectual capital of the Hellenistic world, home to the Library of Alexandria and the Mouseion research center.",96,
Pyramid of Inének Int,29.8536023,31.2188051,تاريخي,"The pyramid of Inének-Inti at Saqqara is an Old Kingdom pyramid from the 6th Dynasty, built for a queen consort of Pepi I. Though largely ruined today, its burial chamber preserves Pyramid Texts inscribed on the walls, offering valuable insight into ancient Egyptian funerary beliefs and royal rituals.",97,
Pyramid of Ânkhésenpépi II,29.8531752,31.2180183,تاريخي,The pyramid of Ankhesenpepi II at Saqqara dates to the 6th Dynasty and was built for a queen who served as regent for her son Pepi II. The complex includes a mortuary temple and subsidiary pyramids. Its Pyramid Texts represent some of the oldest religious writings in human history.,98,
Pyramid of Ânkhésenpépi III,29.8536735,31.2179984,تاريخي,"The pyramid of Ankhesenpepi III is one of several queens' pyramids located at South Saqqara, dating to the late Old Kingdom 6th Dynasty. The structure, though heavily damaged, forms part of the extensive royal necropolis at Saqqara that spans multiple dynasties.",99,
Safir Hotel,30.0351353,31.213403,إقامة,"Safir Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",100,
مسجد خاير بك,30.0358707,31.260191,أخرى,مسجد خاير بك is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,101,
جامع ومدرسة أم السلطان شعبان,30.0371528,31.2595924,أخرى,"جامع ومدرسة أم السلطان شعبان is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",102,
برج السّاعة,30.0294104,31.2592429,أخرى,"برج السّاعة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",103,
منزل زينب خاتون,30.0447493,31.2635556,أخرى,"منزل زينب خاتون is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",104,
منزل الست وسيلة,30.0444643,31.2631809,أخرى,"منزل الست وسيلة is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",105,
مسجد و مقام بدر الدين العيني,30.0447584,31.2632964,أخرى,مسجد و مقام بدر الدين العيني is a mosque serving the local Muslim community and representing Egypt's Islamic architectural heritage. Egypt's mosques range from medieval masterpieces to modern places of worship.,106,
مدفن سليمان باشا الفرنساوي,30.0096136,31.2285789,تاريخي,مدفن سليمان باشا الفرنساوي is an ancient Egyptian historical site that forms part of Egypt's extraordinary archaeological heritage. The site offers visitors a direct connection to the civilization that built one of the greatest empires of the ancient world.,107,
منزل الهراوى,30.0443461,31.2633034,أخرى,"منزل الهراوى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",108,
المدرسة الصالحية,30.0491926,31.2613302,أخرى,"المدرسة الصالحية is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",109,
Public garden,29.9432957,31.0930256,خارجي وطبيعي,"Public garden is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",110,
طيبة روز,30.0751838,31.3377856,إقامة,"طيبة روز is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",111,
جراند طيبة روز هوتيل,30.0767343,31.338719,إقامة,"جراند طيبة روز هوتيل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",112,
فندق توليب,30.0472868,31.2388287,إقامة,"فندق توليب is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",113,
Select Hotel,30.0512468,31.2433736,إقامة,"Select Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",114,
Ain Helwan,29.860913,31.324357,خارجي وطبيعي,"Ain Helwan is an outdoor natural or recreational area in Egypt, offering visitors the opportunity to experience the country's diverse landscapes from the Nile Valley to the desert and Mediterranean coast.",115,
Horus House Hotel,30.0637719,31.2192726,إقامة,"Horus House Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",116,
Sakkara Country Club,29.9140543,31.185601,إقامة,"Sakkara Country Club is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",117,
MUST Opera House,29.9966129,30.9652826,أخرى,"MUST Opera House is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",118,
Freedom Hostel,30.0482665,31.2425402,إقامة,"Freedom Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",119,
Art al-lewa,30.0498157,31.1872587,أخرى,"Art al-lewa is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",120,
King Hotel,30.0409859,31.214383,إقامة,"King Hotel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",121,
المشربية,30.0439378,31.1999059,ثقافي,"المشربية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",122,
El parque más grande,30.038515,31.26339,خدمات,El parque más grande is a service facility in Egypt that supports visitors and residents in the area.,123,
درب ١٧١٨,30.0029782,31.2318093,أخرى,"درب ١٧١٨ is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",124,
عروض الذكر الصوفى,30.0457914,31.2609339,أخرى,"عروض الذكر الصوفى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",125,
Egyptian Textile Museum,30.049967,31.2613757,ثقافي,"The Egyptian Textile Museum in Cairo's Islamic Quarter is the first museum in the Arab world dedicated entirely to textiles. Located in a restored historic building, it traces the 5,000-year history of Egyptian textile production from pharaonic linen to Islamic tapestries and Coptic weavings. The collection includes rare Fatimid-era tiraz fabrics and royal garments.",126,80.0
محطة جراج هيئة النقل العام بجسر السويس,30.1273058,31.3637088,أخرى,"محطة جراج هيئة النقل العام بجسر السويس is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",127,
شيراتون دريم لاند,29.9651096,31.0212474,إقامة,"شيراتون دريم لاند is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",128,
تمثال اتحاد الكاف,29.9955542,30.9625645,أخرى,"تمثال اتحاد الكاف is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",129,
التمثال,29.9943761,30.9598207,أخرى,"التمثال is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",130,
Tiap Hous,30.0416081,31.2140328,إقامة,"Tiap Hous is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",131,
Nouran,30.0400118,31.2141061,إقامة,"Nouran is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",132,
Wake Up Cairo Hostel,30.0504314,31.2359592,إقامة,"Wake Up Cairo Hostel is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",133,
Isis Garden Camp,29.9628586,31.159491,إقامة,"Isis Garden Camp is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",134,
Talaat Harb Culture Center,30.0238453,31.2524145,ثقافي,"Talaat Harb Culture Center is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",135,
Arabian Nights,30.0486398,31.2672675,إقامة,"Arabian Nights is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",136,
Le Méridien Cairo Airport,30.1137185,31.3953464,إقامة,"Le Méridien Cairo Airport is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",137,
Golden Tulip Hotel October,29.9481384,31.0530119,إقامة,"Golden Tulip Hotel October is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",138,
المريوطية,30.0697,31.2019873,ثقافي,"المريوطية is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",139,
شبرا,30.0784996,31.2433049,ثقافي,"شبرا is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",140,
Ahmed Mido,30.0786802,31.2434138,ثقافي,"Ahmed Mido is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",141,
Mohamed Fares,29.8434547,31.340682,أخرى,"Mohamed Fares is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",142,
كورنيش المقطم,30.0161162,31.2757109,أخرى,"كورنيش المقطم is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",143,
خان الخليلي و ش الحسين,30.047772,31.261014,ثقافي,"خان الخليلي و ش الحسين is a cultural institution in Egypt that preserves and presents aspects of Egyptian heritage, history, and artistic traditions for visitors and researchers alike.",144,
تلة الهضبة الحديق الاهرام,29.9698056,31.1073204,أخرى,"تلة الهضبة الحديق الاهرام is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",145,
المهندس عماد وافدى,29.9604756,31.3026253,أخرى,"المهندس عماد وافدى is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",146,
star plaza guest house,30.0391947,31.2055397,إقامة,"star plaza guest house is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",147,
7ay l 10,30.0491881,31.3790205,أخرى,"7ay l 10 is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",148,
Mohamed Awad,29.9965768,31.2941209,أخرى,"Mohamed Awad is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",149,
دار الدفاع الجوي,30.0759354,31.3379696,إقامة,"دار الدفاع الجوي is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",150,
Home,30.0421271,31.2420527,أخرى,"Home is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",151,
الحرفين,30.1495446,31.3998012,أخرى,"الحرفين is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",152,
الشغل,30.0852714,31.3379249,إقامة,"الشغل is a hotel and accommodation facility in Egypt, offering lodging services to travelers and tourists visiting the area.",153,
Essam,29.9929986,31.1886279,أخرى,"Essam is a point of interest in Egypt, contributing to the country's diverse cultural, historical, and natural landscape.",154,
