site_name,governorate,heritage_type,egyptian_egp,egyptian_student_egp,foreign_egp,foreign_student_egp,visiting_hours
Prince Mohamed Ali Palace - Manial,Cairo,Museum,10.0,5.0,200,200.0,9AM–5PM
Royal Carriages Museum,Cairo,Museum,30.0,20.0,320,150.0,9AM–5PM
Rokn Farouk Museum,Cairo,Museum,20.0,10.0,120,50.0,9AM–5PM
Gayer-Anderson Museum,Cairo,Museum,20.0,5.0,120,50.0,9AM–5PM
National Museum of Egyptian Civilization (NMEC),Cairo,Museum,80.0,20.0,525,250.0,9AM–5PM (Fri: 9AM–5PM & 6PM–9PM)
Giza Pyramids Plateau,Giza,"Egyptian, Greek & Roman",30.0,20.0,700,350.0,7AM–5PM
Great Pyramid of Khufu - Interior,Giza,"Egyptian, Greek & Roman",100.0,50.0,2000,500.0,7AM–5PM (closed 11AM–1PM)
Pyramid of Khafre - Interior,Giza,"Egyptian, Greek & Roman",30.0,20.0,280,140.0,7AM–5PM
Pyramid of Menkaure - Interior,Giza,"Egyptian, Greek & Roman",30.0,20.0,280,140.0,7AM–5PM
Great Sphinx - Private Visits + Site Opening Fees,Giza,"Egyptian, Greek & Roman",,,200,,
Tomb of Meresankh,Giza,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,7AM–5PM
Workers Tombs (min. 5 tickets),Giza,"Egyptian, Greek & Roman",,,700,350.0,7AM–5PM
Saqqara Area incl. Step Pyramid & Imhotep Museum,Giza,"Egyptian, Greek & Roman",30.0,30.0,300,300.0,8AM–5PM
Nobles Tombs - Horemheb & Bubasteon Necropolis,Giza,"Egyptian, Greek & Roman",30.0,30.0,300,300.0,8AM–5PM
Serapeum,Giza,"Egyptian, Greek & Roman",30.0,5.0,300,150.0,8AM–5PM
Tomb of Mereruka,Giza,"Egyptian, Greek & Roman",30.0,5.0,200,200.0,8AM–5PM
Combined Ticket - All Saqqara Tombs,Giza,"Egyptian, Greek & Roman",,,2000,500.0,8AM–5PM
Step Pyramid of Djoser - South Entrance,Giza,"Egyptian, Greek & Roman",30.0,30.0,280,200.0,8AM–5PM
Southern Tomb - Saqqara,Giza,"Egyptian, Greek & Roman",30.0,30.0,200,250.0,8AM–5PM
Dahshur Archaeological Area,Giza,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,8AM–5PM
Mit Rahina Archaeological Area (Memphis),Giza,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,8AM–5PM
Bahariya Oasis Archaeological Area,Giza,"Egyptian, Greek & Roman",10.0,5.0,120,50.0,8AM–9PM
Citadel of Qaitbay - Alexandria,Alexandria,"Islamic, Coptic & Jewish",10.0,30.0,120,120.0,9AM–8PM
Pompey Pillar,Alexandria,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,9AM–5PM
Kom el-Dikka Roman Theatre,Alexandria,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,9AM–5PM
Catacombs of Kom el-Shoqafa,Alexandria,"Egyptian, Greek & Roman",30.0,20.0,120,120.0,9AM–5PM
Mustafa Kamel Tombs,Alexandria,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,9AM–5PM
Anfushi Tombs,Alexandria,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,9AM–5PM
Shatby Archaeological Necropolis,Alexandria,"Egyptian, Greek & Roman",10.0,10.0,100,50.0,9AM–5PM
Sunken Antiquities - Eastern Harbour,Alexandria,"Egyptian, Greek & Roman",35.0,35.0,180,90.0,9AM–5PM
Alexandria National Museum,Alexandria,Museum,10.0,5.0,100,100.0,9AM–5PM
Royal Jewellery Museum,Alexandria,Museum,10.0,5.0,100,100.0,9AM–5PM
Greco-Roman Museum,Alexandria,Museum,40.0,20.0,200,100.0,9AM–5PM
Suez National Museum,Suez,Museum,10.0,10.0,180,90.0,9AM–3PM
Ismailia Museum,Ismailia,Museum,10.0,5.0,100,50.0,9AM–3PM
Temple of the Oracle - Siwa,Matrouh,"Egyptian, Greek & Roman",10.0,5.0,120,60.0,9AM–5PM
Mountain of the Dead Tombs - Siwa,Matrouh,"Egyptian, Greek & Roman",10.0,5.0,100,60.0,9AM–5PM
Matrouh Museum,Matrouh,Museum,10.0,10.0,180,90.0,9AM–3PM (Summer: 5PM–10PM)
Rommel Cave Museum,Matrouh,Museum,10.0,5.0,100,50.0,9AM–3PM
Rashid (Rosetta) Archaeological City,Beheira,"Islamic, Coptic & Jewish",10.0,5.0,100,10.0,8:30AM–9PM
Citadel of Qaitbay - Rosetta,Beheira,"Islamic, Coptic & Jewish",10.0,5.0,30,15.0,8:30AM–9PM
Kafr El-Sheikh Museum,Kafr El-Sheikh,Museum,10.0,10.0,100,100.0,9AM–9PM
Tanta Museum,Gharbia,Museum,10.0,10.0,150,75.0,9AM–3PM
Tell Basta Archaeological Area,Sharqia,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,9AM–6PM summer / 9AM–5PM winter
San El-Hagar (Tanis) Archaeological Area,Sharqia,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,9AM–6PM summer / 9AM–5PM winter
Qasr Qarun Temple,Fayoum,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,8AM–5PM
Pyramid of Hawara,Fayoum,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,8AM–5PM
Lahun Pyramid,Fayoum,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,8AM–5PM
Karanis Archaeological Area,Fayoum,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,8AM–5PM
Medinet Madi Temple,Fayoum,"Egyptian, Greek & Roman",10.0,5.0,120,60.0,8AM–5PM
Kom Oshim Museum,Fayoum,Museum,10.0,5.0,100,50.0,9AM–3PM
Meidum Pyramid,Beni Suef,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,8AM–5PM
Tuna el-Gebel,Minya,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,8AM–5PM
Tell el-Amarna,Minya,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,8AM–5PM
Royal Tomb at Amarna,Minya,"Egyptian, Greek & Roman",10.0,10.0,100,10.0,8AM–5PM
Fraser Tombs,Minya,"Egyptian, Greek & Roman",10.0,10.0,100,50.0,8AM–5PM
Beni Hassan Tombs,Minya,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,8AM–5PM
Zawiyat al-Sultan,Minya,"Islamic, Coptic & Jewish",10.0,10.0,100,50.0,8AM–5PM
Mallawi Museum,Minya,Museum,10.0,5.0,100,10.0,9AM–3PM
Meir Tombs,Asyut,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Hamaymiya Tombs,Asyut,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Al-Muzawwaqa Tombs,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Al-Dabba Forts & Ain Aseel,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Deir el-Haggar Temple,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Ezbet Bashendi Archaeological Area,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Al-Qasr City - Dakhleh Oasis,New Valley,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,8AM–5PM
Temple of Hibis,New Valley,"Egyptian, Greek & Roman",10.0,5.0,180,90.0,8AM–5PM
Temple of Ghweita,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Temple of Dush,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Temple of Zayan,New Valley,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,8AM–5PM
Al-Bagawat Necropolis,New Valley,"Islamic, Coptic & Jewish",10.0,5.0,120,60.0,8AM–5PM
New Valley Museum,New Valley,Museum,10.0,5.0,150,75.0,9AM–3PM
Temple of Seti I - Abydos,Sohag,"Egyptian, Greek & Roman",10.0,5.0,100,230.0,7AM–5PM
Temple of Meritamun,Sohag,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,7AM–5PM
Kom el-Sultan & Shunet el-Zebib,Sohag,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,7AM–5PM
Sheikh Hamad Area,Sohag,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,7AM–5PM
Al-Hawaweesh Tombs,Sohag,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,7AM–5PM
Sohag National Museum,Sohag,Museum,10.0,10.0,150,75.0,9AM–3PM
Prince Yusuf Kamal Palace,Qena,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,8AM–5PM
Dendera Temple,Qena,"Egyptian, Greek & Roman",10.0,10.0,320,150.0,7AM–5PM
Dendera Temple Panorama,Qena,"Egyptian, Greek & Roman",10.0,,100,,7AM–5PM
Dendera Temple Crypts,Qena,"Egyptian, Greek & Roman",,50.0,100,,7AM–5PM
Temple of Esna,Luxor,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,7AM–5PM (Sun/Tue/Fri: 7AM–7PM)
Temple of Tod,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,7AM–5PM
Al-Moalla Tombs,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,7AM–5PM
Karnak Temples incl. Avenue of Sphinxes,Luxor,"Egyptian, Greek & Roman",20.0,10.0,320,160.0,6AM–5PM
Temple of Mut at Karnak,Luxor,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,6AM–5PM
Luxor Temple incl. Avenue of Sphinxes,Luxor,"Egyptian, Greek & Roman",20.0,10.0,500,250.0,6AM–8PM
Valley of the Kings,Luxor,"Egyptian, Greek & Roman",20.0,30.0,750,375.0,6AM–5PM
Tomb of Tutankhamun (KV62),Luxor,"Egyptian, Greek & Roman",20.0,20.0,700,350.0,6AM–5PM
Tomb of Ramesses V & VI (KV9),Luxor,"Egyptian, Greek & Roman",30.0,20.0,200,200.0,6AM–5PM
Tomb of Seti I (KV17),Luxor,"Egyptian, Greek & Roman",500.0,250.0,2000,,6AM–5PM
Tomb of Ay (KV23),Luxor,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,6AM–5PM
Deir el-Bahari - Hatshepsut Temple,Luxor,"Egyptian, Greek & Roman",20.0,10.0,200,100.0,6AM–5PM
Deir el-Medina,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,100.0,6AM–5PM
Tomb of Pashedu,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,100.0,6AM–5PM
Medinet Habu Temple,Luxor,"Egyptian, Greek & Roman",10.0,10.0,100,100.0,6AM–5PM
Valley of the Queens,Luxor,"Egyptian, Greek & Roman",30.0,20.0,100,100.0,6AM–5PM
Tomb of Nefertari (QV66),Luxor,"Egyptian, Greek & Roman",100.0,300.0,2500,,6AM–5PM
Tomb of Ramose (TT55),Luxor,"Egyptian, Greek & Roman",10.0,20.0,100,20.0,6AM–5PM
The Ramesseum,Luxor,"Egyptian, Greek & Roman",10.0,10.0,100,100.0,6AM–5PM
Howard Carter House & KV62 Replica,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,100.0,6AM–5PM
Tombs of Menna & Nakht,Luxor,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,6AM–5PM
Tombs of Rekhmire & Sennefer,Luxor,"Egyptian, Greek & Roman",50.0,50.0,200,200.0,6AM–5PM
Temple of Seti I - Luxor West Bank,Luxor,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,6AM–5PM
Tombs of Userhat & Khonsu,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,6AM–5PM
Al-Assasif Tombs,Luxor,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,6AM–5PM
Tomb of Pabasea,Luxor,"Egyptian, Greek & Roman",50.0,,100,50.0,6AM–5PM
Al-Khokha Tombs,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,6AM–5PM
Dra Abu el-Naga North Tombs (Roy & Shuroy),Luxor,"Egyptian, Greek & Roman",10.0,10.0,100,10.0,6AM–5PM
Dra Abu el-Naga South Tombs,Luxor,"Egyptian, Greek & Roman",10.0,10.0,50,15.0,6AM–5PM
Temple of Isis at Deir Shelwit,Luxor,"Egyptian, Greek & Roman",10.0,5.0,150,120.0,6AM–5PM
Gurnet Murai Necropolis,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,10.0,6AM–5PM
Temple of Merenptah,Luxor,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,6AM–5PM
Mummification Museum - Luxor,Luxor,Museum,10.0,5.0,100,100.0,9AM–6PM & 5PM–9PM
Luxor Museum,Luxor,Museum,30.0,20.0,200,100.0,9AM–9PM & 5PM–9PM
Audio Guide - Luxor Museum,Luxor,Museum,30.0,30.0,50,50.0,
Monastery of St. Simeon,Aswan,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,7AM–5PM
Abu Simbel Temples,Aswan,"Egyptian, Greek & Roman",30.0,20.0,750,375.0,6AM–5PM
Abu Simbel Sun Alignment Ceremony (11 Oct / 22 Feb),Aswan,"Egyptian, Greek & Roman",10.0,10.0,2000,100.0,4AM–5PM
Philae Temples,Aswan,"Egyptian, Greek & Roman",20.0,10.0,550,275.0,7AM–9PM
Philae Temples Panorama,Aswan,"Egyptian, Greek & Roman",20.0,10.0,200,100.0,7AM–4PM
Temple of Edfu,Aswan,"Egyptian, Greek & Roman",20.0,10.0,550,275.0,7AM–5PM
Temple of Kom Ombo,Aswan,"Egyptian, Greek & Roman",20.0,10.0,250,125.0,7AM–9PM
Qubbet el-Hawa Tombs,Aswan,"Egyptian, Greek & Roman",10.0,10.0,120,120.0,7AM–9PM
Elephantine Island,Aswan,"Egyptian, Greek & Roman",10.0,10.0,200,100.0,8AM–9PM
Unfinished Obelisk,Aswan,"Egyptian, Greek & Roman",10.0,10.0,100,100.0,7AM–9PM
Kalabsha Temples,Aswan,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,7AM–9PM
El-Kab,Aswan,"Egyptian, Greek & Roman",10.0,5.0,120,120.0,7AM–5PM
Amada Temples,Aswan,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,7AM–9PM
Wadi el-Seboua Temples,Aswan,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,7AM–9PM
Sehel Island,Aswan,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,7AM–9PM
Gebel el-Silsila,Aswan,"Egyptian, Greek & Roman",10.0,5.0,100,50.0,7AM–9PM
Temple of Isis - Aswan,Aswan,"Egyptian, Greek & Roman",10.0,5.0,150,75.0,7AM–9PM
Nubia Museum,Aswan,Museum,30.0,20.0,200,100.0,9AM–5PM (Thu/Fri: 9AM–5PM & 6PM–9PM)
Al-Qusayr Castle,Red Sea,"Islamic, Coptic & Jewish",10.0,5.0,100,50.0,9AM–5PM
Hurghada Museum,Red Sea,Museum,80.0,20.0,100,100.0,10AM–1PM & 5PM–11PM
Audio Guide - Hurghada Museum,Red Sea,Museum,30.0,30.0,50,50.0,
Salah al-Din Castle - Taba,South Sinai,"Islamic, Coptic & Jewish",10.0,10.0,400,200.0,9AM–5PM
Sharm El-Sheikh Museum,South Sinai,Museum,20.0,10.0,120,120.0,10AM–1PM & 5PM–11PM
Audio Guide - Sharm El-Sheikh Museum,South Sinai,Museum,30.0,30.0,50,50.0,
